employee_id,leave_type,start_date,end_date,duration_days,status,department,location,worker_type
1,Annual Leave,2024-06-23 11:01:19.578836,2024-06-24 11:01:19.578836,2,Completed,Management,Citrusdal Pack House,Permanent
1,Annual Leave,2023-08-21 11:01:19.578836,2023-08-25 11:01:19.578836,5,Completed,Management,Citrusdal Pack House,Permanent
1,Annual Leave,2023-10-08 11:01:19.578836,2023-10-09 11:01:19.578836,2,Completed,Management,Citrusdal Pack House,Permanent
1,Annual Leave,2024-07-06 11:01:19.578836,2024-07-10 11:01:19.578836,5,Completed,Management,Citrusdal Pack House,Permanent
1,Annual Leave,2024-08-06 11:01:19.578836,2024-08-06 11:01:19.578836,1,Completed,Management,Citrusdal Pack House,Permanent
1,Annual Leave,2023-12-24 11:01:19.578836,2023-12-28 11:01:19.578836,5,Completed,Management,Citrusdal Pack House,Permanent
1,Annual Leave,2023-04-25 11:01:19.578836,2023-04-25 11:01:19.578836,1,Completed,Management,Citrusdal Pack House,Permanent
1,Sick Leave,2023-10-03 11:01:19.578836,2023-10-03 11:01:19.578836,1,Completed,Management,Citrusdal Pack House,Permanent
1,Annual Leave,2025-02-07 11:01:19.578836,2025-02-07 11:01:19.578836,1,Completed,Management,Citrusdal Pack House,Permanent
1,Sick Leave,2023-07-20 11:01:19.578836,2023-07-20 11:01:19.578836,1,Completed,Management,Citrusdal Pack House,Permanent
2,Annual Leave,2023-07-04 11:01:19.578836,2023-07-07 11:01:19.578836,4,Completed,Management,Citrusdal Pack House,Permanent
2,Annual Leave,2024-12-05 11:01:19.578836,2024-12-09 11:01:19.578836,5,Completed,Management,Citrusdal Pack House,Permanent
2,Annual Leave,2023-10-02 11:01:19.578836,2023-10-04 11:01:19.578836,3,Completed,Management,Citrusdal Pack House,Permanent
2,Annual Leave,2023-12-28 11:01:19.578836,2023-12-29 11:01:19.578836,2,Completed,Management,Citrusdal Pack House,Permanent
2,Annual Leave,2025-02-11 11:01:19.578836,2025-02-12 11:01:19.578836,2,Completed,Management,Citrusdal Pack House,Permanent
2,Annual Leave,2023-06-25 11:01:19.578836,2023-06-27 11:01:19.578836,3,Completed,Management,Citrusdal Pack House,Permanent
2,Maternity/Paternity,2024-04-02 11:01:19.578836,2024-04-11 11:01:19.578836,10,Completed,Management,Citrusdal Pack House,Permanent
2,Maternity/Paternity,2023-06-18 11:01:19.578836,2023-06-20 11:01:19.578836,3,Completed,Management,Citrusdal Pack House,Permanent
2,Annual Leave,2023-11-29 11:01:19.578836,2023-11-29 11:01:19.578836,1,Completed,Management,Citrusdal Pack House,Permanent
2,Sick Leave,2023-09-16 11:01:19.578836,2023-09-16 11:01:19.578836,1,Completed,Management,Citrusdal Pack House,Permanent
3,Annual Leave,2024-05-10 11:01:19.578836,2024-05-13 11:01:19.578836,4,Completed,Management,Upington,Permanent
3,Annual Leave,2024-01-05 11:01:19.578836,2024-01-08 11:01:19.578836,4,Completed,Management,Upington,Permanent
3,Sick Leave,2023-05-29 11:01:19.578836,2023-05-29 11:01:19.578836,1,Completed,Management,Upington,Permanent
3,Annual Leave,2023-04-20 11:01:19.578836,2023-04-22 11:01:19.578836,3,Completed,Management,Upington,Permanent
3,Annual Leave,2023-11-19 11:01:19.578836,2023-11-22 11:01:19.578836,4,Completed,Management,Upington,Permanent
3,Annual Leave,2024-06-05 11:01:19.578836,2024-06-09 11:01:19.578836,5,Completed,Management,Upington,Permanent
3,Annual Leave,2024-10-28 11:01:19.578836,2024-10-28 11:01:19.578836,1,Completed,Management,Upington,Permanent
3,Annual Leave,2024-10-18 11:01:19.578836,2024-10-18 11:01:19.578836,1,Completed,Management,Upington,Permanent
3,Annual Leave,2024-10-11 11:01:19.578836,2024-10-11 11:01:19.578836,1,Completed,Management,Upington,Permanent
3,Annual Leave,2024-02-28 11:01:19.578836,2024-02-28 11:01:19.578836,1,Completed,Management,Upington,Permanent
4,Annual Leave,2024-09-20 11:01:19.578836,2024-09-21 11:01:19.578836,2,Completed,Management,Ceres Pack House,Permanent
4,Sick Leave,2024-03-02 11:01:19.578836,2024-03-04 11:01:19.578836,3,Completed,Management,Ceres Pack House,Permanent
4,Annual Leave,2023-10-23 11:01:19.578836,2023-10-26 11:01:19.578836,4,Completed,Management,Ceres Pack House,Permanent
4,Sick Leave,2024-02-06 11:01:19.578836,2024-02-07 11:01:19.578836,2,Completed,Management,Ceres Pack House,Permanent
4,Sick Leave,2024-01-21 11:01:19.578836,2024-01-22 11:01:19.578836,2,Completed,Management,Ceres Pack House,Permanent
