employee_id,month,base_salary,overtime_hours,overtime_pay,gross_pay,tax_deduction,benefits_deduction,net_pay,department,location,worker_type
1,2023-03,31170,0,0.0,31170.0,5610.599999999999,1558.5,24000.9,Management,Citrusdal Pack House,Permanent
2,2023-03,37055,0,0.0,37055.0,6669.9,1852.75,28532.35,Management,Citrusdal Pack House,Permanent
3,2023-03,36313,0,0.0,36313.0,6536.34,1815.65,27961.01,Management,Upington,Permanent
4,2023-03,24693,0,0.0,24693.0,4444.74,1234.65,19013.61,Management,Ceres Pack House,Permanent
5,2023-03,31460,0,0.0,31460.0,5662.8,1573.0,24224.2,Management,Ceres Pack House,Permanent
6,2023-03,19993,0,0.0,19993.0,3598.74,999.6500000000001,15394.610000000002,Management,Dullstroom,Permanent
7,2023-03,28268,0,0.0,28268.0,5088.24,1413.4,21766.36,Management,Ceres Pack House,Permanent
8,2023-03,18291,0,0.0,18291.0,3292.3799999999997,914.5500000000001,14084.070000000002,Management,Citrusdal,Permanent
9,2023-03,18351,0,0.0,18351.0,3303.18,917.5500000000001,14130.27,Management,Ceres,Permanent
10,2023-03,31419,0,0.0,31419.0,5655.42,1570.95,24192.63,Management,Dullstroom,Permanent
11,2023-03,32575,0,0.0,32575.0,5863.5,1628.75,25082.75,Management,Citrusdal Pack House,Permanent
12,2023-03,22066,0,0.0,22066.0,3971.8799999999997,1103.3,16990.82,Management,Dullstroom,Permanent
13,2023-03,37686,0,0.0,37686.0,6783.48,1884.3000000000002,29018.22,Management,Citrusdal Pack House,Permanent
14,2023-03,25157,0,0.0,25157.0,4528.26,1257.8500000000001,19370.89,Management,Ceres Pack House,Permanent
15,2023-03,39235,0,0.0,39235.0,7062.3,1961.75,30210.95,Management,Citrusdal,Permanent
16,2023-03,21635,0,0.0,21635.0,3894.2999999999997,1081.75,16658.95,Management,Upington,Permanent
17,2023-03,18121,0,0.0,18121.0,3261.7799999999997,906.0500000000001,13953.170000000002,Management,Ceres,Permanent
18,2023-03,34967,0,0.0,34967.0,6294.0599999999995,1748.3500000000001,26924.590000000004,Management,Graaff-Reinet,Permanent
19,2023-03,36988,0,0.0,36988.0,6657.84,1849.4,28480.76,Management,Citrusdal,Permanent
20,2023-03,32714,0,0.0,32714.0,5888.5199999999995,1635.7,25189.78,Management,Upington,Permanent
21,2023-03,30347,0,0.0,30347.0,5462.46,1517.3500000000001,23367.190000000002,Management,Citrusdal,Permanent
22,2023-03,33878,0,0.0,33878.0,6098.04,1693.9,26086.059999999998,Management,Graaff-Reinet,Permanent
23,2023-03,27405,0,0.0,27405.0,4932.9,1370.25,21101.85,Management,Citrusdal Pack House,Permanent
24,2023-03,32001,0,0.0,32001.0,5760.179999999999,1600.0500000000002,24640.77,Management,Dullstroom,Permanent
25,2023-03,23484,0,0.0,23484.0,4227.12,1174.2,18082.68,Management,Upington,Permanent
26,2023-03,31175,0,0.0,31175.0,5611.5,1558.75,24004.75,Management,Citrusdal,Permanent
27,2023-03,24503,0,0.0,24503.0,4410.54,1225.15,18867.309999999998,Management,Graaff-Reinet,Permanent
28,2023-03,27163,0,0.0,27163.0,4889.34,1358.15,20915.51,Management,Citrusdal,Permanent
29,2023-03,25838,0,0.0,25838.0,4650.84,1291.9,19895.26,Management,Ceres Pack House,Permanent
30,2023-03,18011,0,0.0,18011.0,3241.98,900.5500000000001,13868.470000000001,Management,Ceres Pack House,Permanent
