employee_id,month,productivity_level,days_worked,performance_score,incident_count,incident_type,department,location,job_title,worker_type
1,2023-03,87.36013088779819,20,3.3,0,,Management,Citrusdal Pack House,HR Manager,Permanent
2,2023-03,96.10953814842759,17,3.1,0,,Management,Citrusdal Pack House,Operations Manager,Permanent
3,2023-03,104.27209975250125,20,3.5,0,,Management,Upington,Production Manager,Permanent
4,2023-03,93.64560699800877,17,3.1,0,,Management,Ceres Pack House,Operations Manager,Permanent
5,2023-03,108.88049410985798,19,3.4,0,,Management,Ceres Pack House,Finance Manager,Permanent
6,2023-03,108.69960263117899,19,3.4,0,,Management,Dullstroom,HR Manager,Permanent
7,2023-03,101.58276284456286,20,3.4,0,,Management,Ceres Pack House,Production Manager,Permanent
8,2023-03,92.61335529839042,20,3.3,0,,Management,Citrusdal,Production Manager,Permanent
9,2023-03,104.19265209527492,19,3.4,0,,Management,Ceres,HR Manager,Permanent
10,2023-03,105.26374239334937,20,3.5,0,,Management,Dullstroom,HR Manager,Permanent
11,2023-03,102.64193872679567,17,3.2,0,,Management,Citrusdal Pack House,Production Manager,Permanent
12,2023-03,133.30448489888323,19,3.7,0,,Management,Dullstroom,General Manager,Permanent
13,2023-03,108.30622015553243,18,3.3,0,,Management,Citrusdal Pack House,Operations Manager,Permanent
14,2023-03,116.46914287002792,16,3.2,0,,Management,Ceres Pack House,General Manager,Permanent
15,2023-03,96.8695297832553,20,3.4,0,,Management,Citrusdal,Operations Manager,Permanent
16,2023-03,99.57459390756217,20,3.4,0,,Management,Upington,HR Manager,Permanent
17,2023-03,96.17220633151868,19,3.3,0,,Management,Ceres,Farm Manager,Permanent
18,2023-03,119.39713717495474,19,3.5,0,,Management,Graaff-Reinet,Production Manager,Permanent
19,2023-03,92.0935523319659,17,3.0,0,,Management,Citrusdal,Operations Manager,Permanent
20,2023-03,122.56073660131872,20,3.7,0,,Management,Upington,Operations Manager,Permanent
21,2023-03,111.68721237272712,16,3.2,0,,Management,Citrusdal,Production Manager,Permanent
